survey,target,country,condition,arm,disambiguator,embedding_model,k_spec,k,captured_importance,oracle_acc,model_acc,random_acc,majority,value_over_random,cost_of_imperfect,error
arabbarometer,Q630,Kuwait,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.4058,0.3925,0.3636,0.3793,0.0289,0.0133,
arabbarometer,Q630,Kuwait,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.25,0.4083,0.3859,0.3666,0.3793,0.0193,0.0224,
arabbarometer,Q630,Kuwait,country_provided,C,nemotron,all-mpnet-base-v2,model,10,0.1136,0.4083,0.371,0.3666,0.3793,0.0044,0.0373,
arabbarometer,Q630,Kuwait,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.1562,0.4058,0.3826,0.3636,0.3793,0.019,0.0232,
arabbarometer,Q630,Kuwait,country_provided,C,nemotron,all-mpnet-base-v2,k10,7,0.1316,0.4017,0.3726,0.37,0.3793,0.0026,0.0291,
arabbarometer,Q104,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,model,11,0.3439,0.8142,0.7717,0.8641,0.7775,-0.0924,0.0425,
arabbarometer,Q104,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.3517,0.7733,0.7283,0.8109,0.7775,-0.0826,0.045,
arabbarometer,Q104,Mauritania,unprompted,C,nemotron,all-mpnet-base-v2,k10,9,0.3655,0.7975,0.7667,0.8415,0.7775,-0.0748,0.0308,
arabbarometer,Q104,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,model,11,0.3122,0.8142,0.9875,0.8641,0.7775,0.1234,-0.1733,
arabbarometer,Q104,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k5,4,0.4154,0.78,0.75,0.7922,0.7775,-0.0422,0.03,
arabbarometer,Q104,Mauritania,country_provided,C,nemotron,all-mpnet-base-v2,k10,9,0.3401,0.7975,0.7533,0.8415,0.7775,-0.0882,0.0442,
asianbarometer,SE2,Indonesia,unprompted,C,nemotron,all-mpnet-base-v2,model,4,0.0239,0.8558,0.5571,0.568,0.5,-0.0109,0.2987,
asianbarometer,SE2,Indonesia,unprompted,C,nemotron,all-mpnet-base-v2,k5,4,0.0239,0.8558,0.5571,0.568,0.5,-0.0109,0.2987,
asianbarometer,SE2,Indonesia,unprompted,C,nemotron,all-mpnet-base-v2,k10,4,0.0239,0.8558,0.5571,0.568,0.5,-0.0109,0.2987,
asianbarometer,SE2,Indonesia,country_provided,C,nemotron,all-mpnet-base-v2,model,6,0.139,0.8617,0.7013,0.5968,0.5,0.1045,0.1604,
asianbarometer,SE2,Indonesia,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0198,0.8604,0.5545,0.6028,0.5,-0.0483,0.3059,
asianbarometer,SE2,Indonesia,country_provided,C,nemotron,all-mpnet-base-v2,k10,6,0.139,0.8617,0.7013,0.5968,0.5,0.1045,0.1604,
asianbarometer,SE13a,Indonesia,unprompted,C,nemotron,all-mpnet-base-v2,model,12,0.6783,0.5396,0.639,0.2599,0.2805,0.3791,-0.0994,
asianbarometer,SE13a,Indonesia,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0,0.561,0.5331,0.2645,0.2805,0.2686,0.0279,
asianbarometer,SE13a,Indonesia,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.0704,0.5513,0.5318,0.2642,0.2805,0.2676,0.0195,
asianbarometer,SE13a,Indonesia,country_provided,C,nemotron,all-mpnet-base-v2,model,13,0.017,0.5422,0.3714,0.2904,0.2805,0.081,0.1708,
asianbarometer,SE13a,Indonesia,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0179,0.561,0.2571,0.2645,0.2805,-0.0074,0.3039,
asianbarometer,SE13a,Indonesia,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.0148,0.5513,0.2409,0.2642,0.2805,-0.0233,0.3104,
asianbarometer,level,Indonesia,unprompted,C,nemotron,all-mpnet-base-v2,model,5,0.5323,0.7201,0.6792,0.5438,0.5065,0.1354,0.0409,
asianbarometer,level,Indonesia,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.5323,0.7201,0.6792,0.5438,0.5065,0.1354,0.0409,
asianbarometer,level,Indonesia,unprompted,C,nemotron,all-mpnet-base-v2,k10,5,0.5323,0.7201,0.6792,0.5438,0.5065,0.1354,0.0409,
asianbarometer,level,Indonesia,country_provided,C,nemotron,all-mpnet-base-v2,model,7,0.5782,0.7532,0.7091,0.589,0.5065,0.1201,0.0441,
asianbarometer,level,Indonesia,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.5,0.7201,0.6766,0.5438,0.5065,0.1328,0.0435,
asianbarometer,level,Indonesia,country_provided,C,nemotron,all-mpnet-base-v2,k10,7,0.5782,0.7532,0.7091,0.589,0.5065,0.1201,0.0441,
asianbarometer,SE13a,Australia,unprompted,C,nemotron,all-mpnet-base-v2,model,12,0.7222,0.3485,0.3246,0.2322,0.2414,0.0924,0.0239,
asianbarometer,SE13a,Australia,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.1653,0.3559,0.2447,0.2361,0.2414,0.0086,0.1112,
asianbarometer,SE13a,Australia,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.202,0.3411,0.2356,0.2444,0.2414,-0.0088,0.1055,
asianbarometer,SE13a,Australia,country_provided,C,nemotron,all-mpnet-base-v2,model,10,0.6936,0.3411,0.3641,0.2444,0.2414,0.1197,-0.023,
asianbarometer,SE13a,Australia,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.7397,0.3559,0.3402,0.2361,0.2414,0.1041,0.0157,
asianbarometer,SE13a,Australia,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.6936,0.3411,0.3641,0.2444,0.2414,0.1197,-0.023,
asianbarometer,SE14a,Mongolia,unprompted,C,nemotron,all-mpnet-base-v2,model,15,0.4954,0.4929,0.4961,0.3724,0.3728,0.1237,-0.0032,
asianbarometer,SE14a,Mongolia,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.6189,0.4644,0.5008,0.3655,0.3728,0.1353,-0.0364,
asianbarometer,SE14a,Mongolia,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.4763,0.4826,0.4629,0.3738,0.3728,0.0891,0.0197,
asianbarometer,SE14a,Mongolia,country_provided,C,nemotron,all-mpnet-base-v2,model,9,0.4566,0.4763,0.4637,0.378,0.3728,0.0857,0.0126,
asianbarometer,SE14a,Mongolia,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.5492,0.4644,0.4542,0.3655,0.3728,0.0887,0.0102,
asianbarometer,SE14a,Mongolia,country_provided,C,nemotron,all-mpnet-base-v2,k10,9,0.4566,0.4763,0.4637,0.378,0.3728,0.0857,0.0126,
asianbarometer,SE13a,Mongolia,unprompted,C,nemotron,all-mpnet-base-v2,model,13,0.0489,0.391,0.3175,0.2901,0.3618,0.0274,0.0735,
asianbarometer,SE13a,Mongolia,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0374,0.4107,0.3397,0.3415,0.3618,-0.0018,0.071,
asianbarometer,SE13a,Mongolia,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.0315,0.3878,0.327,0.3051,0.3618,0.0219,0.0608,
asianbarometer,SE13a,Mongolia,country_provided,C,nemotron,all-mpnet-base-v2,model,10,0.0472,0.3878,0.2788,0.3051,0.3618,-0.0263,0.109,
asianbarometer,SE13a,Mongolia,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.0467,0.4107,0.3136,0.3415,0.3618,-0.0279,0.0971,
asianbarometer,SE13a,Mongolia,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.0472,0.3878,0.2788,0.3051,0.3618,-0.0263,0.109,
asianbarometer,SE7a,Australia,unprompted,C,nemotron,all-mpnet-base-v2,model,12,0.798,0.5777,0.5834,0.496,0.5226,0.0874,-0.0057,
asianbarometer,SE7a,Australia,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.1896,0.5752,0.4273,0.5218,0.5226,-0.0945,0.1479,
asianbarometer,SE7a,Australia,unprompted,C,nemotron,all-mpnet-base-v2,k10,10,0.8312,0.5727,0.5744,0.5064,0.5226,0.068,-0.0017,
asianbarometer,SE7a,Australia,country_provided,C,nemotron,all-mpnet-base-v2,model,9,0.1463,0.5736,0.4585,0.5113,0.5226,-0.0528,0.1151,
asianbarometer,SE7a,Australia,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.159,0.5752,0.4634,0.5218,0.5226,-0.0584,0.1118,
asianbarometer,SE7a,Australia,country_provided,C,nemotron,all-mpnet-base-v2,k10,9,0.1463,0.5736,0.4585,0.5113,0.5226,-0.0528,0.1151,
asianbarometer,SE2,Mongolia,unprompted,C,nemotron,all-mpnet-base-v2,model,4,0.084,0.7169,0.6002,0.6152,0.6207,-0.015,0.1167,
asianbarometer,SE2,Mongolia,unprompted,C,nemotron,all-mpnet-base-v2,k5,4,0.084,0.7169,0.6002,0.6152,0.6207,-0.015,0.1167,
asianbarometer,SE2,Mongolia,unprompted,C,nemotron,all-mpnet-base-v2,k10,4,0.084,0.7169,0.6002,0.6152,0.6207,-0.015,0.1167,
asianbarometer,SE2,Mongolia,country_provided,C,nemotron,all-mpnet-base-v2,model,4,0.4046,0.7169,0.6522,0.6152,0.6207,0.037,0.0647,
asianbarometer,SE2,Mongolia,country_provided,C,nemotron,all-mpnet-base-v2,k5,4,0.4046,0.7169,0.6522,0.6152,0.6207,0.037,0.0647,
asianbarometer,SE2,Mongolia,country_provided,C,nemotron,all-mpnet-base-v2,k10,4,0.4046,0.7169,0.6522,0.6152,0.6207,0.037,0.0647,
asianbarometer,SE2,Australia,unprompted,C,nemotron,all-mpnet-base-v2,model,4,0.4,0.5785,0.507,0.5164,0.5045,-0.0094,0.0715,
asianbarometer,SE2,Australia,unprompted,C,nemotron,all-mpnet-base-v2,k5,4,0.4,0.5785,0.507,0.5164,0.5045,-0.0094,0.0715,
asianbarometer,SE2,Australia,unprompted,C,nemotron,all-mpnet-base-v2,k10,4,0.4,0.5785,0.507,0.5164,0.5045,-0.0094,0.0715,
asianbarometer,SE2,Australia,country_provided,C,nemotron,all-mpnet-base-v2,model,7,0.5738,0.5958,0.5505,0.5271,0.5045,0.0234,0.0453,
asianbarometer,SE2,Australia,country_provided,C,nemotron,all-mpnet-base-v2,k5,5,0.4667,0.6048,0.5144,0.5262,0.5045,-0.0118,0.0904,
asianbarometer,SE2,Australia,country_provided,C,nemotron,all-mpnet-base-v2,k10,7,0.5738,0.5958,0.5505,0.5271,0.5045,0.0234,0.0453,
asianbarometer,SE14a,Indonesia,unprompted,C,nemotron,all-mpnet-base-v2,model,14,0.3586,0.4262,0.4099,0.3526,0.3735,0.0573,0.0163,
asianbarometer,SE14a,Indonesia,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.4734,0.4066,0.393,0.3609,0.3735,0.0321,0.0136,
