survey,target,country,condition,arm,disambiguator,embedding_model,k_spec,k,captured_importance,oracle_acc,model_acc,random_acc,majority,value_over_random,cost_of_imperfect,error
asianbarometer,SE7a,Australia,country_provided,C,nemotron,all-mpnet-base-v2,k10,10,0.8208,0.5727,0.6188,0.5064,0.5226,0.1124,-0.0461,
asianbarometer,SE2,Mongolia,unprompted,C,nemotron,all-mpnet-base-v2,model,7,0.2165,0.6885,0.5907,0.6068,0.6207,-0.0161,0.0978,
asianbarometer,SE2,Mongolia,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.0687,0.7098,0.5852,0.6157,0.6207,-0.0305,0.1246,
asianbarometer,SE2,Mongolia,unprompted,C,nemotron,all-mpnet-base-v2,k10,7,0.2165,0.6885,0.5907,0.6068,0.6207,-0.0161,0.0978,
asianbarometer,SE2,Mongolia,country_provided,C,nemotron,all-mpnet-base-v2,model,4,0.0687,0.7169,0.5915,0.6152,0.6207,-0.0237,0.1254,
asianbarometer,SE2,Mongolia,country_provided,C,nemotron,all-mpnet-base-v2,k5,4,0.0687,0.7169,0.5915,0.6152,0.6207,-0.0237,0.1254,
asianbarometer,SE2,Mongolia,country_provided,C,nemotron,all-mpnet-base-v2,k10,4,0.0687,0.7169,0.5915,0.6152,0.6207,-0.0237,0.1254,
asianbarometer,SE2,Australia,unprompted,C,nemotron,all-mpnet-base-v2,model,5,0.3179,0.6048,0.5095,0.5262,0.5045,-0.0167,0.0953,
asianbarometer,SE2,Australia,unprompted,C,nemotron,all-mpnet-base-v2,k5,5,0.3179,0.6048,0.5095,0.5262,0.5045,-0.0167,0.0953,
asianbarometer,SE2,Australia,unprompted,C,nemotron,all-mpnet-base-v2,k10,5,0.3179,0.6048,0.5095,0.5262,0.5045,-0.0167,0.0953,
asianbarometer,SE2,Australia,country_provided,C,nemotron,all-mpnet-base-v2,model,1,0.3673,0.5662,0.4971,0.4891,0.5045,0.008,0.0691,
asianbarometer,SE2,Australia,country_provided,C,nemotron,all-mpnet-base-v2,k5,1,0.3673,0.5662,0.4971,0.4891,0.5045,0.008,0.0691,
asianbarometer,SE2,Australia,country_provided,C,nemotron,all-mpnet-base-v2,k10,1,0.3673,0.5662,0.4971,0.4891,0.5045,0.008,0.0691,
